Team,Year,Week,Win/Loss,Win Loss Factor,Home/Away,Points Scored,Points Allowed,3rd Down,3rd Down Allowed,Pass Yards,Pass Yards Allowed,Rush Yards,Rush Yards Allowed,Opp Team
8,0,3,0,0,1,-9,-2,-0.006593,-0.014285,12.5,52,-53,-3.5,16
9,0,3,1,0,0,2,-12,0.094589,-0.243303,-31.5,-113.5,6.5,-3.5,18
10,0,3,1,0,0,7,5,-0.151516,-0.059091,45.5,-80,25,67,15
11,0,3,0,0.244919,1,18.5,5.5,0.063937,0.105827,-42.5,195.5,88,-32.5,17
12,0,3,1,0.244919,1,4.5,-14,-0.09899,-0.154378,-127.5,52,42,27.5,28
13,0,3,0,0,0,3.5,-1.5,-0.162121,-0.087879,105.5,-88.5,37,46,30
14,0,3,0,0,0,2.5,-1,0.120718,-0.156863,-17,-94,39.5,-13,31
19,0,3,0,0.122459,0,6.5,2,-0.084616,0.008403,94.5,124,-26.5,-62,29
20,0,3,1,0,1,-13.5,-13,0.028022,-0.064935,-53.5,-137.5,56,-32,21
22,0,3,0,0,0,7.5,-3.5,0.246212,-0.014652,-105,-144.5,42,108.5,23
26,0,3,0,0.122459,1,-5.5,4.5,-0.160381,0.327229,3,38.5,-75,-14,27
0,0,4,0,-0.241355,1,-7,13.333333,-0.016761,0.036984,-32.666667,-53.333333,-30,79.333333,3
1,0,4,0,0,1,-12.666667,-10.333333,-0.12151,-0.125996,-40,-67,-11.333333,-1.666667,2
4,0,4,0,0.241355,0,4.666667,-0.666667,-0.020608,-0.034768,30.666667,-3,-16.333333,-18,7
5,0,4,1,-0.117002,0,-9.333333,2.666667,0.160708,-0.156024,73.666667,-102.333333,-61,68,6
8,0,4,1,-0.124353,1,-16.333333,7.333333,-0.010474,0.011033,-165.333333,53.333333,33.333333,-26,10
9,0,4,0,0.124353,1,5.666667,-7.666667,-0.017583,-0.172439,-202.666667,-61.666667,70.333333,22,15
11,0,4,1,0.124353,0,8.333333,0.666667,0.175251,-0.07366,56.666667,241,-1,-78.666667,14
13,0,4,1,-0.124353,1,8,-5.333333,0.142003,-0.087093,170.666667,-50,0,-55,31
16,0,4,0,0.124353,1,9,-1.666667,0.222344,-0.042666,-37,-142.333333,64.666667,30.666667,19
18,0,4,1,-0.241355,1,-3.666667,11.333333,0.092352,0.049503,-24,-110,43,97,23
21,0,4,0,-0.241355,0,-7.333333,10.333333,-0.15873,0.026196,-9.666667,121,-29.333333,32,22
25,0,4,0,-0.241355,0,-10.333333,4.333333,-0.093949,-0.120113,-111.333333,-10.333333,41,-34,26
27,0,4,1,0.241355,1,13,-13.666667,0.221514,-0.183982,-7.333333,21,82.333333,-10,28
29,0,4,1,-0.124353,1,-5,-2.666667,-0.171649,-0.099619,3,-72.333333,13,66,30
0,0,5,0,-0.231059,1,-2.5,3.5,-0.184702,0.048291,-33.5,-95,-24,73,8
3,0,5,1,0.184636,1,12.166667,2.583333,0.052981,0.049282,-13.25,44.25,24.416667,-12.583333,20
4,0,5,0,-0.062177,1,3.083333,-0.166667,-0.060803,0.011821,66.083333,-1.916667,-4.333333,-33.833333,24
5,0,5,1,0.122459,1,-6.5,-7.5,0.043979,-0.157522,-117.25,-102.75,29.25,15.75,15
7,0,5,0,-0.244919,1,-6.25,4.25,-0.098672,0.092118,-40.5,11.75,-28.25,12.5,27
9,0,5,1,0.062177,0,6.5,-0.666667,-0.020617,0.006531,-159.416667,-4.916667,53.25,8.333333,17
10,0,5,1,-0.179179,1,6.583333,10.333333,0.148304,0.191071,174.166667,-20.5,-85.166667,74.5,12
11,0,5,0,0.122459,1,9,3.5,0.125035,0.004469,8,198,38.5,-47,18
13,0,5,0,0.122459,0,9.25,-9,0.096463,-0.048426,104.25,14,-7.75,-81.75,14
16,0,5,1,0.231059,0,10.75,-6,0.049357,-0.040756,12.75,-59.25,53,30.75,28
19,0,5,1,-0.122459,1,-8.25,1.5,-0.21379,-0.007922,3.5,120,3.5,-17.25,22
21,0,5,1,-0.231059,1,1.25,13.5,0.012237,0.098848,37.25,10.25,-15,18.25,29
23,0,5,1,0.353518,0,5.75,-4.75,-0.111356,-0.063502,65.5,34.5,-34.5,-36.5,25
26,0,5,0,0.122459,0,5.25,-11.5,0.178905,-0.010055,118.25,-37,-25.75,-16.5,31
1,0,6,1,-0.062177,0,-7.3,5.2,0.109217,0.00613,-2.9,-30.9,0,12.95,22
2,0,6,1,-0.056719,1,14.35,9.6,0.09664,0.266492,7.8,115.65,8.25,11.05,5
3,0,6,1,0.241355,0,6.2,-7,-0.011852,-0.037314,-161,20.8,113.4,-48.4,15
6,0,6,1,0.301638,1,5.9,-6.9,-0.083454,-0.056698,-62.6,3.55,30.7,-57.75,7
8,0,6,0,0,1,-5,8.4,0.057229,0.121945,10.8,39.6,8.6,1,9
10,0,6,1,0,0,9.4,1.8,0.203339,0.03643,68.6,-94.4,-8.8,30,19
11,0,6,1,-0.060283,1,4.35,12.95,0.156305,0.014096,71,90.1,-6.35,-0.9,12
13,0,6,0,0,0,11.4,2,0.041667,0.032239,121.6,-71.4,22.2,-24.4,29
14,0,6,0,0.215123,0,7,0.8,-0.052703,0.001179,-28.6,-29.6,56.4,36.4,28
16,0,6,1,-0.117002,1,1.8,6.6,-0.094852,0.078957,9.8,-30.6,-18.4,39.2,27
17,0,6,0,0,0,4.5,5,0.057159,-0.042984,127.5,17.5,-36.25,-2,20
18,0,6,1,0.241355,1,-4,-2.8,-0.049695,-0.101886,-2.2,-89.4,48.2,-34.6,21
23,0,6,0,0.179179,1,-0.35,-4.45,-0.244216,-0.095401,-15.55,-85.4,19.1,5.85,30
24,0,6,0,0.060283,1,-1.3,-0.4,-0.023682,-0.045721,-60.95,9.9,27.9,24.45,26
0,0,7,0,-0.399759,0,-1.266667,16.366667,-0.162633,0.21242,-80.233333,25,-5.1,76.9,5
1,0,7,0,-0.117002,1,-5,10.4,0.146753,-0.022452,72,-31.2,-15.4,45.8,6
2,0,7,1,0.301638,0,4.633333,2.2,0.086549,0.12855,-85.166667,109.733333,6.7,18.1,13
4,0,7,0,-0.184636,0,-1.666667,3.566667,-0.076215,0.021809,25.5,-32.9,-31.433333,13.166667,27
7,0,7,1,-0.353518,0,-7,2.833333,-0.101668,0.026579,-61.333333,33.333333,-1.166667,14.166667,26
8,0,7,0,-0.062177,0,-3.266667,9.433333,0.079457,0.098747,2.3,14.266667,-29.6,20.366667,12
9,0,7,1,0,1,1.5,-3.666667,0.021734,-0.116657,-88.833333,32.333333,6.333333,-18.166667,16
14,0,7,1,0,0,-0.666667,1.833333,-0.04402,-0.021682,-128.666667,-13,62.833333,21.833333,15
17,0,7,0,-0.301638,1,-1.933333,2.533333,0.094236,-0.001372,70.666667,8.6,-41.333333,7.966667,18
19,0,7,1,-0.122459,0,0.166667,3.666667,0.089052,0.018144,51.333333,77.333333,0.333333,37.833333,23
20,0,7,0,-0.062177,0,-5.766667,-1.066667,0.025382,-0.03354,-65.733333,-23.5,22.366667,-10.133333,22
24,0,7,1,0.062177,1,-1.166667,3.366667,0.038801,0.113531,4.533333,-16.733333,-13.133333,51.5,29
25,0,7,1,-0.046241,1,-5.1,-1.166667,-0.104463,-0.017013,-90.1,-18.766667,8.433333,23.233333,28
30,0,7,1,0,1,2,-8.2,0.167755,-0.127107,54,49.6,-1.6,-70.4,31
0,0,8,0,-0.440034,0,-4.833333,14.333333,-0.027465,0.090498,15.666667,-39,-65.833333,84.833333,12
1,0,8,1,0.122459,0,-3.5,-1,0.061868,-0.060029,-35.833333,-5.5,6.833333,-17.166667,4
2,0,8,1,0.353518,1,11,3.333333,0.051787,0.099075,31.5,72.833333,-25,-1.5,20
3,0,8,0,0.168882,1,2.642857,-2.595238,-0.021908,-0.006063,-75.714286,14.857143,59.880952,-34.285714,22
6,0,8,0,0.168882,0,1.833333,-6.047619,-0.124916,-0.013827,-97.452381,55.952381,26.261905,-45.047619,26
8,0,8,1,0.168882,0,-4.261905,4.52381,0.009776,0.137068,-116.095238,53.142857,41.714286,11.666667,17
9,0,8,0,0.358357,0,3.142857,-4.571429,-0.024124,-0.016229,-146.571429,71.857143,26,12,13
10,0,8,1,0,1,1.666667,-7,0.005717,0.003039,75.166667,-99.5,-45.833333,33,11
14,0,8,1,-0.184636,1,5.571429,5.738095,-0.065805,0.070062,-16.5,-69.047619,62.928571,61.357143,30
15,0,8,0,0.098121,0,3.571429,5.285714,-0.029101,0.029899,69.857143,-10.142857,-23.857143,50.142857,28
19,0,8,0,0.293235,0,-5.761905,-4.333333,-0.157205,-0.072175,-22.666667,68.142857,17.714286,-24.97619,21
24,0,8,1,0.122459,0,0,-5.333333,0.153481,0.016275,64.666667,-31.166667,5,16.333333,31
25,0,8,0,-0.168882,0,-4.642857,2.952381,-0.080262,0.032504,-34.119048,-39.357143,-16.761905,20.357143,29
0,0,9,0,-0.414129,1,0.714286,13.857143,0.170408,0.111892,-16.714286,-20.428571,25.857143,99.428571,23
1,0,9,0,-0.117002,0,-2.285714,2.857143,0.043171,0.03928,7,3.285714,-3.571429,-7.714286,5
2,0,9,0,0.456479,0,12.428571,1.714286,0.095909,0.053052,26.714286,38.285714,11.571429,-9.714286,7
3,0,9,1,0.358357,0,-3.428571,-7.857143,-0.002245,-0.002273,-66.142857,-1.285714,71.142857,-41.714286,21
4,0,9,0,-0.358357,1,-0.142857,8.714286,0.04108,0.041964,74.142857,-21.857143,-16.285714,61.857143,6
10,0,9,0,0.117002,0,3,-2.142857,0.028899,-0.037398,63,-3.142857,-32.714286,23.285714,16
11,0,9,0,0.184636,1,-1.964286,6.392857,-0.042385,0.041302,-84.25,122.553571,24.375,21.589286,13
12,0,9,0,0.179179,0,-3.214286,-3.571429,-0.007102,0.033971,-33.071429,53.285714,21.928571,-30.946429,14
17,0,9,0,-0.399759,0,0,9.714286,0.021645,-0.04545,61.553571,-12.071429,-16.142857,-1.767857,22
18,0,9,1,0.117002,0,7.428571,1.857143,-0.013942,-0.023706,56.285714,-89.857143,56.857143,-15.142857,30
20,0,9,1,-0.117002,1,-0.571429,-7.714286,0.099857,-0.006175,29.428571,-17.428571,41.714286,-40.714286,31
24,0,9,0,0,0,-4.714286,4.285714,-0.044751,0.050935,-16.571429,-49.857143,-32.571429,53.571429,27
25,0,9,0,-0.399759,1,-8.732143,2.928571,-0.126827,0.000316,-114.517857,4.089286,0.821429,10.375,26
0,0,10,1,-0.149738,1,-6.625,5.625,0.008319,0.071767,-49,-38.25,24.125,50.375,21
1,0,10,1,-0.122459,1,-10.125,3.125,0.061687,0.004766,42.75,-25.25,-16.5,2.125,9
2,0,10,1,0,0,5.625,8.125,0.085366,0.123856,35.375,28.875,-10.625,59.375,6
3,0,10,1,0.353518,0,3.75,-3.25,-0.011665,-0.046725,11.875,-20.75,30.75,-18.5,7
4,0,10,0,-0.353518,0,-6.25,2.75,-0.065835,0.041671,-52.625,14,2.875,-20.125,10
5,0,10,0,0,0,-2.625,-1.875,-0.058905,-0.08679,-4.375,-44.5,-17.75,8.875,27
8,0,10,1,0,1,-3.5,0,-0.014408,0.073922,-51.875,-31.125,-6.125,17.875,11
12,0,10,0,0.353518,0,3.625,-9.75,-0.011224,-0.071958,-127.375,28.5,112.375,-56.25,15
16,0,10,1,0.122459,0,5.375,1.375,0.180418,0.089703,7.875,-65.75,42.875,-8.5,19
17,0,10,1,-0.548633,0,-6.875,9,0.01662,0.13727,34.5,44.625,-76.25,43,18
20,0,10,0,-0.244919,0,1,4.375,0.148402,0.048853,26.875,-17.375,37.125,12.375,23
24,0,10,1,0.440034,1,8.625,0.75,0.111325,0.093774,58.875,23.25,13,22.25,25
28,0,10,1,-0.231059,1,-0.375,4.625,-0.017295,0.024876,20.75,15,-7.5,2.5,29
30,0,10,1,0.122459,0,-3.375,-5.5,0.052963,-0.078735,9.625,15,-4.25,-22.625,31
0,0,11,1,-0.074653,0,-2.222222,3.555556,0.006077,0.006108,-59.888889,-6.777778,18.111111,51.111111,4
1,0,11,0,-0.117002,1,-0.333333,5.111111,0.184283,0.056497,37.555556,-15.666667,9.444444,27.888889,23
2,0,11,1,0.098121,1,2,3.222222,-0.001098,0.098216,-56.888889,66.777778,16.222222,-20.222222,10
3,0,11,1,0.339476,1,-1,-11.888889,-0.014733,-0.038088,-32.555556,-84.222222,20.333333,-18.777778,11
5,0,11,1,0.531132,0,10.222222,-5.555556,0.09268,-0.017413,69.666667,21.444444,24.666667,-31.777778,25
6,0,11,1,0.117002,1,-3.888889,-2.888889,0.024888,0.033303,1.666667,67.333333,-49.111111,-61.555556,14
7,0,11,0,-0.241355,0,-2.666667,-7.555556,-0.008682,-0.045139,-8.111111,-27,-18.111111,-1.666667,8
9,0,11,0,0.124353,1,6.444444,-5.555556,0.164378,0.046408,-54.666667,-38.888889,28.555556,-25.666667,19
12,0,11,1,0.241355,1,4.111111,-7.444444,0.05517,-0.019604,17,-29.111111,82.666667,-28,31
13,0,11,1,0.117002,1,4,-6.111111,0.081596,-0.061334,15.888889,-44.666667,31,-53.666667,15
16,0,11,1,0,1,2.333333,1.777778,0.063863,0.09881,-13.777778,34.333333,4.222222,21,18
17,0,11,1,0,1,-2.333333,5.555556,0.011799,0.035367,33,10.666667,-2.777778,-8.222222,21
20,0,11,0,-0.358357,1,-5.777778,5.777778,-0.049511,0.010987,-23.555556,-1,19.777778,-14.222222,22
24,0,11,1,0.358357,0,3.111111,0.888889,0.092059,0.119558,-14,-20.777778,14.333333,43.111111,28
26,0,11,1,0.117002,1,3.888889,-5.333333,0.129414,0.029827,76,-105.888889,7.111111,6,30
27,0,11,1,0.339476,0,6.888889,1.222222,0.101846,0.138973,41.222222,17.333333,22.111111,0.333333,29
0,0,12,0,-0.548633,1,-2.2,11.1,0.013163,0.093264,-3.6,-30.2,-4.3,100.5,6
1,0,12,1,0,0,-6.6,-1.5,0.090189,0.055456,39.7,3.5,-54.2,-15.8,14
2,0,12,1,0.635149,0,5.5,0.5,0.065216,0.12673,-29.3,77.3,32.3,-21.8,21
3,0,12,1,0.635149,1,2.3,-8.5,0.011836,-0.068285,-30.9,-3,49.3,-28,4
5,0,12,1,0,1,2.4,-2.8,-0.047466,-0.097998,24.4,9.2,-1.2,-34.7,24
7,0,12,1,0.149738,1,7.5,-4.6,0.0912,0.035238,34,39.9,16.9,-12,25
8,0,12,0,0,0,-3.3,5,0.008578,0.203367,-50.8,72,-3,22.7,18
9,0,12,0,0.122459,0,1.3,-8.9,-0.039347,0.005533,-58.1,-42.3,0,-4.3,11
10,0,12,0,0.122459,1,-0.6,0.5,0.011121,0.071178,-6.9,23.9,-23.2,49.9,13
12,0,12,1,0.122459,0,5.8,-2.6,-0.036505,0.020496,-19.1,-38.9,81,-1.3,30
15,0,12,0,-0.108599,1,4,8.9,-0.00862,0.094812,80.8,1.6,-27,41.7,29
16,0,12,0,0,0,9.3,8,0.118619,0.073547,53.2,1.4,51.8,21.7,23
17,0,12,0,-0.462117,1,-0.6,10.1,-0.110797,0.051764,-14.4,48.8,-11.6,11.9,26
19,0,12,0,0.231059,1,3,1.9,-0.105833,-0.084968,29.2,62.1,-21.6,31.9,20
22,0,12,0,-0.086516,0,-0.4,-4.6,-0.069082,-0.023178,4.7,-32.8,-28.5,16.7,27
28,0,12,1,0,0,-2.8,-7.3,0.057336,-0.031546,26.7,-40.3,11.3,-28.3,31
0,0,13,0,-0.172774,0,3.636364,5.090909,0.033594,0.020822,-4.818182,-5.272727,-10.090909,74.636364,20
1,0,13,0,0.241355,1,-1,-0.363636,0.033706,-0.039164,42.181818,-35.818182,-10.909091,-15.636364,7
2,0,13,1,0,1,6.363636,7.181818,0.064915,0.161813,24.363636,77.818182,-35.636364,24.363636,3
4,0,13,0,-0.629253,1,-3.636364,8.272727,-0.11609,0.032442,-53.454545,18.454545,-2.181818,14.090909,26
5,0,13,0,0,1,-0.363636,0.636364,-0.020282,0.016384,25.454545,-34.909091,-11.636364,37.727273,6
8,0,13,1,0.124353,0,-1.545455,6.909091,0.056765,0.031204,12.818182,11.545455,24.181818,3.090909,9
10,0,13,0,0.339476,1,2.363636,-4.454545,0.04533,-0.047543,21.636364,-39.545455,-6.727273,22,17
11,0,13,0,-0.241355,0,-4.181818,2.727273,0.005899,0.025298,-17.545455,72,-14.090909,-2.363636,16
12,0,13,1,0.456479,1,3.181818,-8.363636,0.046461,-0.065328,-87.363636,7.454545,94.909091,-45.181818,15
13,0,13,0,0.124353,1,5,-2.818182,0.094376,-0.025074,98.181818,-9.181818,-26.454545,-52.636364,14
18,0,13,1,0.241355,1,5.636364,-2,0.115621,-0.056408,7,-83.272727,47.272727,-31.363636,19
21,0,13,0,-0.629253,1,3.272727,10,0.095653,0.094229,60.363636,4,-17,48.181818,23
22,0,13,1,0.358357,1,7.454545,-5.363636,0.0556,0.038967,46.181818,-10.363636,-12.454545,14.272727,28
24,0,13,0,-0.172774,1,-5.181818,1.272727,-0.032459,0.0185,-33.363636,-47,-11.636364,38.727273,27
25,0,13,0,-0.342474,0,-6.272727,0.090909,-0.045788,-0.001169,-63.636364,-73,23.454545,10.181818,30
29,0,13,1,0.215123,0,1.727273,-8,0.081615,-0.095933,21.727273,-9.727273,26.272727,-43.181818,31
0,0,14,1,-0.258338,1,1.166667,7.833333,0.004281,0.034856,9.916667,-24.166667,-3.5,51.833333,7
1,0,14,1,-0.317574,0,-4.333333,0.5,0.034418,0.008886,22.833333,-17.166667,-41.833333,12.083333,3
2,0,14,1,0.063223,0,11.083333,6.416667,0.129065,0.177104,44.916667,61.416667,8.583333,29.166667,23
4,0,14,0,-0.698372,0,-1,10.916667,-0.012837,0.046297,25.083333,-16.916667,-27.666667,62.666667,6
5,0,14,1,0.353518,0,-2.333333,-10,-0.053408,-0.050629,-9.166667,-79.416667,-22.083333,-3.666667,11
8,0,14,1,0.122459,1,-2.166667,2.583333,0.076241,0.07743,-2.416667,46,2.5,-14.833333,14
9,0,14,0,-0.122459,1,-4.5,-4.583333,-0.111598,0.032067,-124.333333,38.666667,33.5,-19.333333,10
12,0,14,0,0.231059,0,-2.333333,-1.333333,-0.033356,0.007644,-93.166667,46.916667,69.583333,6.583333,13
15,0,14,0,0,0,4.666667,-0.416667,0.058897,0.019365,86.333333,-9,5.916667,1,31
16,0,14,1,0.462117,0,4.166667,-4.583333,0.003801,-0.042598,-9,-30.833333,44,-4.833333,17
18,0,14,1,0.353518,0,6.75,-0.5,0.012236,-0.114181,31.5,-17.583333,15.25,6,20
19,0,14,0,-0.244919,1,-1.75,3.5,-0.15389,-0.105793,43.166667,54.5,-29.833333,8.5,24
21,0,14,1,-0.611856,1,-2.083333,10.333333,-0.027137,0.028323,-6.833333,16.333333,-12.5,16.166667,22
25,0,14,0,-0.804939,1,-12.5,6.166667,-0.157598,-0.019548,-76.5,-40.333333,-20.5,34.583333,27
26,0,14,1,0.317574,1,5.583333,-0.833333,0.116194,0.074149,81.75,-30.25,-7,4.333333,29
28,0,14,1,-0.231059,1,-3.083333,-2.5,-0.028894,-0.002972,-14.166667,-44.916667,24.833333,-19.833333,30
0,0,15,1,-0.414129,0,2.384615,7.307692,-0.02347,0.069709,-16.230769,-3.076923,8.230769,67.230769,1
2,0,15,1,0.225472,1,8.384615,6.692308,0.058682,0.113586,-1.461538,69.384615,13.692308,-8.384615,22
3,0,15,1,-0.074653,0,-1.307692,3.384615,-0.027668,0.010278,-6.153846,-29,23.461538,28.461538,6
4,0,15,1,-0.225472,1,2.076923,7.153846,0.013484,-0.015294,44.153846,-0.538462,-23.076923,0.076923,7
5,0,15,1,-0.074653,1,-2.769231,-0.846154,-0.095854,0.001953,-55,22.461538,3.846154,-11.230769,26
8,0,15,0,0.117002,0,-4,1,-0.047172,0.039758,-119.692308,54.923077,78.153846,-28.230769,10
9,0,15,1,0,1,-1.923077,-6.923077,-0.074867,0.014046,-68.846154,-35.615385,-15.769231,22.153846,11
12,0,15,1,0.241355,0,3.846154,0,0.011208,0.053717,-22.923077,3.769231,57.538462,4.230769,29
13,0,15,1,0.241355,1,8.538462,-2.076923,0.079165,-0.056269,77.230769,-54,4.846154,-8.461538,28
14,0,15,1,0.289776,1,3.461538,-5.307692,0.04205,-0.059982,-62.769231,-24.230769,59.615385,-17.538462,15
16,0,15,1,0,0,3.461538,4.461538,0.059621,0.087354,19.692308,38.769231,-2.230769,8.384615,18
17,0,15,1,-0.098121,1,6.384615,4.307692,0.119191,0.08017,22.307692,-6.076923,3.846154,-21.692308,19
20,0,15,0,-0.456479,1,-1.769231,3.538462,0.007638,0.067745,9.076923,-17.846154,23.923077,13.384615,23
21,0,15,1,-0.531132,0,1.923077,3.230769,-0.044546,-0.048422,33.076923,13,-21.153846,-10.384615,24
25,0,15,1,-0.162613,1,-6.076923,-1,0.057404,0.007219,-31,-30.384615,21.846154,-10.692308,31
27,0,15,1,0.466827,0,5.692308,-6.615385,0.103865,0.015952,6.384615,-32.769231,39.769231,-12,30
0,1,2,1,0,1,18,-13,0.142857,-0.230769,102,-167,-27,70,14
1,1,2,0,-0.124353,1,-10,31,-0.311688,0.504274,173,344,-69,42,11
2,1,2,1,0,1,14,7,0.153847,-0.220779,186,362,29,-61,13
3,1,2,1,0,1,11,10,-0.071429,-0.030303,155,77,-118,21,8
4,1,2,0,0.124353,0,7,-6,-0.049773,-0.090476,-117,103,101,-107,15
5,1,2,0,0.124353,0,21,-9,0.073864,-0.166667,-34,86,127,-97,9
6,1,2,1,0,1,-10,2,0,0.354167,91,91,2,85,30
7,1,2,1,0,0,10,-7,0.155556,-0.04278,30,-62,19,-28,10
12,1,2,0,-0.124353,0,-20,21,0.048951,0.071429,-200,-58,-18,107,21
16,1,2,0,0.124353,0,19,-17,0.358975,-0.208333,-109,-108,127,66,27
17,1,2,1,-0.124353,0,-9,10,0.25,0.095238,202,160,-21,-19,28
18,1,2,1,0,1,1,-3,-0.066667,-0.333334,59,91,-79,-163,29
19,1,2,1,0,1,0,-7,-0.083334,-0.172727,-37,-163,-25,1,31
20,1,2,0,0,1,-3,-3,-0.064935,0.27972,-231,25,103,-49,24
22,1,2,1,0.124353,0,21,6,0.39394,0.22619,-107,101,29,-18,25
23,1,2,0,0.124353,0,-4,-30,-0.267857,-0.358975,-107,-20,7,7,26
0,1,3,1,0,1,3,-1.5,-0.194056,-0.039377,-233.5,-167,93,21.5,2
1,1,3,0,-0.122459,0,-3.5,7.5,-0.145238,0.125619,72,196,31,-2,7
3,1,3,0,0.122459,0,0.5,-15.5,-0.17262,-0.120921,37.5,-56.5,-87.5,-42.5,14
4,1,3,0,0,1,-4,-1.5,-0.04033,-0.039285,104.5,-96.5,26,52.5,28
5,1,3,1,0.122459,0,9.5,-13,0.138358,-0.127451,-45,116.5,1,-108,29
6,1,3,1,0.122459,0,2.5,-13,0.23492,-0.175189,97.5,-33,8.5,-36,10
8,1,3,0,0.122459,0,-12.5,-6,0.007868,-0.109849,-278,-79.5,65,-39.5,25
9,1,3,1,0,1,-2,-8,-0.051402,0.175974,74,-32.5,-26,-27,15
11,1,3,0,0.122459,0,-3.5,-17.5,-0.162784,-0.194445,-118,-78.5,53,27,26
12,1,3,0,-0.122459,0,-17.5,18.5,-0.441142,-0.083334,-240.5,42.5,42,-0.5,13
16,1,3,0,0,1,10,2,0.343939,0.000377,18.5,-102.5,88,79.5,18
17,1,3,1,-0.122459,1,0.5,8,0.037815,0.247619,106,-12,-68.5,-24.5,19
20,1,3,0,-0.244919,1,-19,12.5,0.151515,0.217241,-193.5,92.5,65,-12.5,21
22,1,3,1,0.122459,0,14.5,7.5,0.270834,0.163057,58,130,39.5,-38,23
24,1,3,1,0,1,-1.5,-7,0.121337,-0.096591,16.5,-43,-43.5,45.5,27
30,1,3,1,-0.122459,1,-16,7,-0.125,-0.004501,-119,-132.5,-48.5,-18.5,31
0,1,4,0,0.241355,0,18.666667,6.333333,0.208199,0.071367,71.333333,83.333333,58.333333,27.666667,4
1,1,4,0,-0.241355,0,-4,3,-0.360806,-0.065074,-62,108,32.333333,-6.666667,13
2,1,4,1,0,0,4,-1,0.187091,0.028694,247.333333,87.333333,-82.333333,-28.666667,14
3,1,4,0,0,0,-0.666667,7,-0.010119,-0.14916,17.333333,-56.666667,-45.666667,52.666667,5
6,1,4,0,0,0,-12,-1.666667,0.061183,-0.006054,32,-62.333333,-52.333333,-6.333333,11
7,1,4,0,0,1,1.333333,6.333333,-0.08978,-0.109387,-97.666667,15.333333,34.666667,39.666667,9
8,1,4,0,-0.124353,1,-25,-8.666667,-0.254848,-0.09109,-211.333333,-85.666667,34.666667,-7,26
10,1,4,0,-0.241355,0,-4.666667,8,-0.178241,0.155633,-59,-19,-2,-0.666667,24
12,1,4,1,0,1,-11,11.666667,-0.091547,-0.017291,-12.333333,-39,-45.666667,55.666667,20
15,1,4,0,-0.241355,0,-13.666667,-4,-0.018804,-0.124337,-84,-124.666667,-33,45,22
16,1,4,0,-0.124353,1,2.666667,8.333333,0.223738,0.060989,82.666667,-46,112.666667,68.666667,28
17,1,4,0,-0.117002,1,-10.666667,7,0.021919,0.094156,12.666667,38.666667,-0.333333,-51.666667,21
18,1,4,1,0.124353,0,4,1.333333,-0.038095,0.03115,-28,-20,4.666667,-19.333333,31
19,1,4,1,0.241355,0,10,-14.333333,0.063258,-0.245299,51,-11.666667,-4.666667,-77,29
23,1,4,1,0,1,0,0.333333,-0.105866,0.038425,-70.666667,37.666667,-30.333333,-7.666667,25
27,1,4,1,0,0,10,3.333333,0.092948,0.118579,108,42.666667,20.333333,12.333333,30
0,1,5,1,0.244919,1,8,-1.25,-0.114877,0.046474,-16.75,57.75,-26.75,-10,16
2,1,5,1,0.122459,1,8.75,0.75,0.163929,0.259636,147.75,188.5,51.75,-21.75,3
